"attractor","state","label"
1,16777216,"M0"
2,50331648,"M0"
3,0,"M0"
4,33554432,"M0"
5,4194304,"M0"
6,37748736,"M0"
7,20971520,"M0"
8,54525952,"M0"
9,22020098,"M0"
10,55574530,"M0"
11,5242882,"M0"
12,38797314,"M0"
13,1048578,"M0"
14,34603010,"M0"
15,17825794,"M0"
16,51380226,"M0"
17,18350091,"M1"
18,51904523,"M1"
19,1572875,"M1"
20,35127307,"M1"
21,5767179,"M1"
22,39321611,"M1"
23,22544395,"M1"
24,56098827,"M1"
25,21495809,"M0"
26,55050241,"M0"
27,4718593,"M0"
28,38273025,"M0"
29,524289,"M0"
30,34078721,"M0"
31,17301505,"M0"
32,50855937,"M0"
33,328042689,"M2d"
34,59607233,"M2d"
35,462260417,"M2d"
36,193824961,"M2d"
37,428705985,"M2d"
38,160270529,"M2d"
39,294488257,"M2d"
40,26052801,"M2d"
41,295536833,"M2d"
42,27101377,"M2d"
43,429754561,"M2d"
44,161319105,"M2d"
45,463308993,"M2d"
46,194873537,"M2d"
47,329091265,"M2d"
48,60655809,"M2d"
49,312313985,"M2c"
50,43878529,"M2c"
51,446531713,"M2c"
52,178096257,"M2c"
53,412977281,"M2c"
54,144541825,"M2c"
55,278759553,"M2c"
56,10324097,"M2c"
57,277710977,"M2c"
58,9275521,"M2c"
59,411928705,"M2c"
60,143493249,"M2c"
61,445483137,"M2c"
62,177047681,"M2c"
63,311265409,"M2c"
64,42829953,"M2c"
65,302876673,"M2c"
66,34441217,"M2c"
67,437094401,"M2c"
68,168658945,"M2c"
69,403539969,"M2c"
70,135104513,"M2c"
71,269322241,"M2c"
72,886785,"M2c"
73,286099457,"M2c"
74,17664001,"M2c"
75,420317185,"M2c"
76,151881729,"M2c"
77,453871617,"M2c"
78,185436161,"M2c"
79,319653889,"M2c"
80,51218433,"M2c"
81,323848193,"M2c"
82,55412737,"M2c"
83,458065921,"M2c"
84,189630465,"M2c"
85,424511489,"M2c"
86,156076033,"M2c"
87,290293761,"M2c"
88,21858305,"M2c"
89,273516545,"M2c"
90,5081089,"M2c"
91,407734273,"M2c"
92,139298817,"M2c"
93,441288705,"M2c"
94,172853249,"M2c"
95,307070977,"M2c"
96,38635521,"M2c"
97,308119553,"M2c"
98,39684097,"M2c"
99,442337281,"M2c"
100,173901825,"M2c"
101,408782849,"M2c"
102,140347393,"M2c"
103,274565121,"M2c"
104,6129665,"M2c"
105,291342337,"M2c"
106,22906881,"M2c"
107,425560065,"M2c"
108,157124609,"M2c"
109,459114497,"M2c"
110,190679041,"M2c"
111,324896769,"M2c"
112,56461313,"M2c"
113,320702465,"M2c"
114,52267009,"M2c"
115,454920193,"M2c"
116,186484737,"M2c"
117,421365761,"M2c"
118,152930305,"M2c"
119,287148033,"M2c"
120,18712577,"M2c"
121,270370817,"M2c"
122,1935361,"M2c"
123,404588545,"M2c"
124,136153089,"M2c"
125,438142977,"M2c"
126,169707521,"M2c"
127,303925249,"M2c"
128,35489793,"M2c"
129,303925505,"M2b"
130,35490049,"M2b"
131,438143233,"M2b"
132,169707777,"M2b"
133,454920449,"M2b"
134,186484993,"M2b"
135,320702721,"M2b"
136,52267265,"M2b"
137,324897025,"M2b"
138,56461569,"M2b"
139,459114753,"M2b"
140,190679297,"M2b"
141,442337537,"M2b"
142,173902081,"M2b"
143,308119809,"M2b"
144,39684353,"M2b"
145,307071233,"M2b"
146,38635777,"M2b"
147,441288961,"M2b"
148,172853505,"M2b"
149,458066177,"M2b"
150,189630721,"M2b"
151,323848449,"M2b"
152,55412993,"M2b"
153,319654145,"M2b"
154,51218689,"M2b"
155,453871873,"M2b"
156,185436417,"M2b"
157,437094657,"M2b"
158,168659201,"M2b"
159,302876929,"M2b"
160,34441473,"M2b"
161,311265665,"M2b"
162,42830209,"M2b"
163,445483393,"M2b"
164,177047937,"M2b"
165,446531969,"M2b"
166,178096513,"M2b"
167,312314241,"M2b"
168,43878785,"M2b"
169,329091521,"M2"
170,60656065,"M2"
171,463309249,"M2"
172,194873793,"M2"
173,462260673,"M2"
174,193825217,"M2"
175,328042945,"M2"
176,59607489,"M2"
177,327518656,"M2"
178,59083200,"M2"
179,461736384,"M2"
180,193300928,"M2"
181,462784960,"M2"
182,194349504,"M2"
183,328567232,"M2"
184,60131776,"M2"
185,395689920,"M2"
186,127254464,"M2"
187,529907648,"M2"
188,261472192,"M2"
189,528859072,"M2"
190,260423616,"M2"
191,394641344,"M2"
192,126205888,"M2"
193,395165632,"M2"
194,126730176,"M2"
195,529383360,"M2"
196,260947904,"M2"
197,530431936,"M2"
198,261996480,"M2"
199,396214208,"M2"
200,127778752,"M2"
201,379436928,"M2"
202,111001472,"M2"
203,513654656,"M2"
204,245219200,"M2"
205,512606080,"M2"
206,244170624,"M2"
207,378388352,"M2"
208,109952896,"M2"
209,377864064,"M2"
210,109428608,"M2"
211,512081792,"M2"
212,243646336,"M2"
213,513130368,"M2"
214,244694912,"M2"
215,378912640,"M2"
216,110477184,"M2"
217,311789952,"M2b"
218,43354496,"M2b"
219,446007680,"M2b"
220,177572224,"M2b"
221,444959104,"M2b"
222,176523648,"M2b"
223,310741376,"M2b"
224,42305920,"M2b"
225,302352640,"M2b"
226,33917184,"M2b"
227,436570368,"M2b"
